1,正高级工程师,汉,861560350317417,1.96,未婚,研究生,农业户口
2,高级工程师,壮,637928090109841,1.61,已婚,本科,非农户口
3,工程师,满,572333190212212158,2.03,丧偶,专科,农业户口
4,助理工程师,回,342499197101173129,1.63,离婚,高中,农业户口
5,技术员,苗,330283111006779,1.96,丧偶,初中,非农户口
6,教授,维吾尔,198861931119520,2.32,丧偶,小学,农业户口
7,副教授,土家,442869198701214323,2.09,已婚,本科,农业户口
8,讲师,彝,699225010620052,1.85,丧偶,专科,非农户口
9,助教,蒙古,582323450906524,2.15,已婚,高中,非农户口
10,讲师,藏,381063930605917,2.26,未婚,初中,农业户口
11,讲师,布依,492378199404202356,1.89,已婚,初中,农业户口
12,教授,侗,745516531220021,2.16,离婚,初中,非农户口
13,高级工程师,瑶,323791191405175550,2.06,离婚,初中,非农户口
14,技术员,朝鲜,804978001125174,2.23,已婚,小学,非农户口
15,教授,白,933189680803650,1.82,已婚,本科,非农户口
16,工程师,哈尼,584681204604308714,2.26,已婚,高中,非农户口
17,助理工程师,哈萨克,268925650728061,1.95,未婚,高中,农业户口
18,讲师,黎,514567200910185518,2.22,未婚,小学,农业户口
19,助教,傣,583508780325986,2.16,丧偶,专科,非农户口
20,工程师,畲,453829660921786,1.82,离婚,小学,农业户口
21,讲师,傈僳,887417208912179250,2.09,已婚,小学,农业户口
22,讲师,仡佬,101329192001168280,2.09,离婚,专科,非农户口
23,工程师,东乡,490131730407680,1.76,未婚,本科,非农户口
24,副教授,高山,379061460613383,2.35,已婚,初中,农业户口
25,教授,拉祜,353947520317759,1.66,离婚,本科,农业户口
26,正高级工程师,水,111917201607164014,1.98,离婚,小学,农业户口
27,教授,佤,166964410104437,1.99,丧偶,研究生,非农户口
28,讲师,纳西,546571941203140,2.30,离婚,初中,农业户口
29,工程师,羌,642759192801053178,1.93,已婚,研究生,非农户口
30,副教授,土,713734204504197897,2.04,已婚,专科,农业户口
31,正高级工程师,仫佬,747098180612200,2.07,未婚,高中,非农户口
32,助教,锡伯,378282940821775,1.69,已婚,研究生,农业户口
33,高级工程师,柯尔克孜,235525208509064062,1.97,已婚,初中,非农户口
34,助理工程师,达斡尔,372556190904206429,1.71,已婚,高中,农业户口
35,教授,景颇,757418720818246,1.59,已婚,初中,非农户口
36,副教授,毛南,721245204808112411,2.38,已婚,研究生,非农户口
37,高级工程师,撒拉,462149391003260,2.14,离婚,初中,农业户口
38,技术员,布朗,638614208008299854,1.83,已婚,初中,农业户口
39,助理工程师,塔吉克,509317640606314,2.03,离婚,专科,非农户口
40,教授,阿昌,946037100208309,2.35,丧偶,专科,非农户口
41,副教授,普米,900776191101186267,1.62,未婚,本科,农业户口
42,教授,鄂温克,55921919211015533X,2.19,未婚,小学,农业户口
43,助理工程师,怒,892354741126876,2.09,已婚,专科,农业户口
44,讲师,京,828040208812028656,1.72,离婚,研究生,非农户口
45,技术员,基诺,981902192305114660,1.85,已婚,专科,非农户口
46,讲师,德昂,941062192907010904,2.10,离婚,初中,非农户口
47,助教,保安,215800202808170798,2.27,离婚,研究生,农业户口
48,讲师,俄罗斯,800596193202096630,1.61,未婚,专科,非农户口
49,高级工程师,裕固,164148090416303,2.25,已婚,本科,非农户口
50,助教,乌孜别克,106113750920281,1.97,未婚,初中,农业户口
51,技术员,门巴,761345130420898,1.72,已婚,初中,非农户口
52,高级工程师,鄂伦春,345567203911088173,2.03,未婚,研究生,非农户口
53,教授,独龙,124753611029670,2.27,离婚,初中,非农户口
54,助理工程师,塔塔尔,868544208310220747,1.79,未婚,研究生,非农户口
55,技术员,赫哲,622813570823041,1.82,未婚,研究生,农业户口
56,讲师,珞巴,587088209312147159,1.98,丧偶,小学,农业户口
57,教授,满,119551206911205185,2.12,离婚,专科,农业户口
58,副教授,达斡尔,222263290521211,2.00,已婚,本科,农业户口
59,技术员,基诺,891472950330149,2.12,丧偶,小学,农业户口
60,教授,普米,115690207712099420,1.69,离婚,小学,农业户口
61,讲师,拉祜,143880208607197291,2.18,离婚,高中,农业户口
62,教授,珞巴,409562199710095060,1.59,已婚,小学,农业户口
63,教授,彝,678790194803172184,2.03,未婚,本科,非农户口
64,助教,乌孜别克,525212330415751,2.03,离婚,本科,非农户口
65,副教授,傈僳,549447192801154216,1.88,离婚,研究生,农业户口
66,助教,水,45737219480508520X,1.68,未婚,小学,农业户口
67,副教授,德昂,289230205502147530,2.26,未婚,本科,非农户口
68,技术员,景颇,284858197905081167,2.21,已婚,小学,非农户口
69,助教,裕固,945582195303116029,1.61,离婚,本科,农业户口
70,讲师,朝鲜,600743710905722,1.82,离婚,本科,农业户口
71,讲师,苗,830688130319971,2.13,已婚,本科,农业户口
72,技术员,裕固,131880321014495,2.17,离婚,小学,农业户口
73,高级工程师,珞巴,161873190402248879,1.65,已婚,研究生,农业户口
74,技术员,鄂伦春,860807080313478,1.59,未婚,初中,农业户口
75,讲师,仡佬,947487061102963,1.65,离婚,本科,农业户口
76,高级工程师,水,941276411213743,1.81,未婚,高中,非农户口
77,教授,普米,650225740905322,2.21,已婚,小学,非农户口
78,技术员,纳西,590656960705246,2.37,离婚,初中,非农户口
79,助教,独龙,866166208811024071,1.64,离婚,高中,农业户口
80,工程师,满,518121203202189683,2.27,已婚,小学,非农户口
81,助理工程师,仡佬,101787207711295960,2.00,已婚,研究生,农业户口
82,工程师,回,815159202512207590,1.64,未婚,研究生,农业户口
83,工程师,阿昌,716275197104138714,2.36,未婚,专科,非农户口
84,技术员,柯尔克孜,955385207511067582,2.36,已婚,小学,非农户口
85,副教授,乌孜别克,504719198003069819,2.21,未婚,本科,非农户口
86,高级工程师,乌孜别克,719608820801570,1.94,已婚,专科,农业户口
87,副教授,哈尼,409976960306879,1.61,离婚,初中,非农户口
88,技术员,壮,330715560708319,1.61,未婚,小学,非农户口
89,技术员,毛南,484304171211607,1.94,丧偶,本科,非农户口
90,高级工程师,瑶,899337221114414,1.92,离婚,研究生,农业户口
91,副教授,裕固,855492203306078753,1.90,丧偶,初中,农业户口
92,教授,蒙古,473058194502013205,1.80,已婚,研究生,农业户口
93,教授,拉祜,394547195207030617,1.72,未婚,小学,农业户口
94,技术员,拉祜,875802193303240328,2.37,已婚,本科,非农户口
95,助教,锡伯,916737199712109128,2.38,已婚,高中,农业户口
96,助理工程师,毛南,220686950329812,1.83,已婚,小学,农业户口
97,副教授,土,468968205009261269,1.68,丧偶,小学,农业户口
98,技术员,傣,309507391016963,2.13,已婚,研究生,农业户口
99,教授,哈萨克,910196890101715,1.76,离婚,研究生,农业户口
100,讲师,保安,63954520930829773X,1.68,未婚,高中,非农户口
101,助理工程师,佤,469597390902454,1.78,未婚,初中,非农户口
102,教授,畲,406514191104888,2.08,未婚,小学,非农户口
103,技术员,哈尼,715146206009238282,1.69,已婚,专科,非农户口
104,高级工程师,满,355375700820722,1.72,丧偶,小学,农业户口
105,正高级工程师,普米,172201193908063909,2.25,离婚,高中,非农户口
106,副教授,柯尔克孜,542674530514087,2.12,未婚,专科,农业户口
107,副教授,鄂伦春,592284199604283538,2.03,已婚,初中,农业户口
108,正高级工程师,满,750463441117358,1.62,未婚,高中,农业户口
109,技术员,珞巴,913317190409028887,1.75,离婚,研究生,农业户口
110,副教授,高山,572800202510033247,1.67,已婚,专科,非农户口
111,教授,拉祜,543455201901304102,2.11,丧偶,本科,农业户口
112,技术员,塔塔尔,411057193111216285,2.26,已婚,专科,非农户口
113,讲师,裕固,730507195002213101,1.97,离婚,专科,非农户口
114,副教授,黎,628647761112028,1.86,丧偶,高中,农业户口
115,正高级工程师,阿昌,313625199504118132,1.96,丧偶,初中,非农户口
116,讲师,白,322330201407109329,1.72,离婚,研究生,非农户口
117,正高级工程师,鄂伦春,784194211030061,1.64,未婚,初中,农业户口
